Game_Number,Date,Opponent,At_Bats,Hits,Runs,RBI,Home_Runs,Doubles,Triples,Walks,Strikeouts,Stolen_Bases,Game_Average,Cumulative_Average
1,2024-03-28,@ Houston Astros,4,1,1,0,0,1,0,1,2,0,0.250,0.250
2,2024-03-29,@ Houston Astros,5,0,0,0,0,0,0,0,1,0,0.000,0.111
3,2024-03-30,@ Houston Astros,3,1,0,0,0,0,0,1,1,0,0.333,0.167
4,2024-03-31,@ Houston Astros,4,0,0,1,0,0,0,0,2,0,0.000,0.125
5,2024-04-01,@ Arizona Diamondbacks,5,1,0,0,0,0,0,0,0,0,0.200,0.143
6,2024-04-02,@ Arizona Diamondbacks,3,0,0,0,0,0,0,1,1,0,0.000,0.125
7,2024-04-03,@ Arizona Diamondbacks,4,2,1,3,1,1,0,1,1,0,0.500,0.179
8,2024-04-05,vs Toronto Blue Jays,2,0,0,0,0,0,0,2,1,0,0.000,0.167
9,2024-04-06,vs Toronto Blue Jays,3,2,2,2,1,0,0,2,1,0,0.667,0.212
10,2024-04-07,vs Toronto Blue Jays,3,0,1,0,0,0,0,2,1,0,0.000,0.194
11,2024-04-08,vs Miami Marlins,4,0,0,0,0,0,0,0,0,0,0.000,0.175
12,2024-04-09,vs Miami Marlins,1,1,0,0,0,1,0,3,0,0,1.000,0.195
13,2024-04-10,vs Miami Marlins,4,0,0,0,0,0,0,1,2,0,0.000,0.178
14,2024-04-13,@ Cleveland Guardians,5,2,0,0,0,1,0,0,0,0,0.400,0.200
15,2024-04-13,@ Cleveland Guardians,4,1,0,0,0,1,0,1,0,0,0.250,0.204
16,2024-04-14,@ Cleveland Guardians,4,1,2,3,1,0,0,1,2,0,0.250,0.207
17,2024-04-15,@ Toronto Blue Jays,4,0,0,0,0,0,0,0,2,0,0.000,0.194
18,2024-04-16,@ Toronto Blue Jays,4,0,0,0,0,0,0,0,2,0,0.000,0.182
19,2024-04-17,@ Toronto Blue Jays,5,1,0,2,0,0,0,0,3,0,0.200,0.183
20,2024-04-19,vs Tampa Bay Rays,3,1,0,0,0,0,0,1,1,1,0.333,0.189
21,2024-04-20,vs Tampa Bay Rays,4,0,0,0,0,0,0,0,4,0,0.000,0.179
22,2024-04-21,vs Tampa Bay Rays,4,1,0,0,0,0,0,0,2,0,0.250,0.183
