Game_Number,Date,Opponent,At_Bats,Hits,Runs,RBI,Home_Runs,Doubles,Triples,Walks,Strikeouts,Stolen_Bases,Game_Average,Cumulative_Average
1,2024-03-29,vs Milwaukee Brewers,3,0,0,0,0,0,0,0,0,0,0.000,0.000
2,2024-03-30,vs Milwaukee Brewers,4,2,1,1,1,0,0,0,0,0,0.500,0.286
3,2024-03-31,vs Milwaukee Brewers,4,2,0,0,0,0,0,0,0,0,0.500,0.364
4,2024-04-01,vs Detroit Tigers,4,0,0,0,0,0,0,0,1,0,0.000,0.267
5,2024-04-04,vs Detroit Tigers,5,2,2,0,0,0,0,1,3,0,0.400,0.300
6,2024-04-04,vs Detroit Tigers,4,1,1,1,1,0,0,0,2,0,0.250,0.292
7,2024-04-05,@ Cincinnati Reds,5,0,0,1,0,0,0,0,1,0,0.000,0.241
8,2024-04-06,@ Cincinnati Reds,5,0,1,0,0,0,0,0,1,0,0.000,0.206
9,2024-04-07,@ Cincinnati Reds,4,0,0,0,0,0,0,0,2,0,0.000,0.184
10,2024-04-08,@ Atlanta Braves,4,0,1,0,0,0,0,1,3,0,0.000,0.167
11,2024-04-09,@ Atlanta Braves,4,2,1,3,1,1,0,1,1,0,0.500,0.196
12,2024-04-11,@ Atlanta Braves,4,2,2,0,0,0,0,1,0,0,0.500,0.220
13,2024-04-12,vs Kansas City Royals,4,2,1,1,1,0,0,0,0,0,0.500,0.241
14,2024-04-13,vs Kansas City Royals,3,3,2,3,2,0,0,1,0,0,1.000,0.281
15,2024-04-14,vs Kansas City Royals,2,0,1,0,0,0,0,2,1,0,0.000,0.271
16,2024-04-15,vs Pittsburgh Pirates,4,0,0,0,0,0,0,0,1,0,0.000,0.254
17,2024-04-16,vs Pittsburgh Pirates,4,2,1,0,0,1,0,0,0,0,0.500,0.269
18,2024-04-17,vs Pittsburgh Pirates,2,0,2,0,0,0,0,2,0,0,0.000,0.261
19,2024-04-19,@ Los Angeles Dodgers,5,1,0,1,0,0,0,0,2,0,0.200,0.257
20,2024-04-20,@ Los Angeles Dodgers,5,0,0,0,0,0,0,0,0,0,0.000,0.241
21,2024-04-21,@ Los Angeles Dodgers,4,1,0,0,0,0,0,0,1,0,0.250,0.241
22,2024-04-22,@ San Francisco Giants,4,2,1,1,1,0,0,0,0,0,0.500,0.253
23,2024-04-23,@ San Francisco Giants,4,2,1,0,0,1,0,0,0,0,0.500,0.264
24,2024-04-24,@ San Francisco Giants,4,1,1,0,0,0,0,0,1,0,0.250,0.263
25,2024-04-26,vs St. Louis Cardinals,4,0,0,0,0,0,0,0,1,0,0.000,0.253
26,2024-04-27,vs St. Louis Cardinals,4,1,1,2,1,0,0,0,1,0,0.250,0.252
27,2024-04-28,vs St. Louis Cardinals,2,0,0,0,0,0,0,3,1,0,0.000,0.248
28,2024-04-29,vs Chicago Cubs,3,0,0,0,0,0,0,1,0,1,0.000,0.241
29,2024-04-30,vs Chicago Cubs,3,0,0,1,0,0,0,0,0,0,0.000,0.234
30,2024-05-01,vs Chicago Cubs,3,0,0,0,0,0,0,0,2,0,0.000,0.228
31,2024-05-02,vs Chicago Cubs,5,0,0,0,0,0,0,0,3,0,0.000,0.218
32,2024-05-03,@ Tampa Bay Rays,4,1,0,1,0,1,0,0,0,0,0.250,0.220
33,2024-05-04,@ Tampa Bay Rays,3,0,0,0,0,0,0,1,2,0,0.000,0.214
34,2024-05-05,@ Tampa Bay Rays,5,0,0,0,0,0,0,0,1,0,0.000,0.206
35,2024-05-06,@ St. Louis Cardinals,1,0,0,0,0,0,0,0,0,0,0.000,0.205
36,2024-05-07,@ St. Louis Cardinals,5,2,2,3,1,1,0,0,1,0,0.400,0.212
37,2024-05-10,vs Atlanta Braves,4,2,0,1,0,1,0,0,0,0,0.500,0.220
38,2024-05-11,vs Atlanta Braves,3,0,0,0,0,0,0,1,0,0,0.000,0.215
39,2024-05-12,vs Atlanta Braves,4,2,0,2,0,1,0,0,0,0,0.500,0.223
40,2024-05-13,vs Philadelphia Phillies,4,2,2,0,0,1,0,1,0,0,0.500,0.230
41,2024-05-14,vs Philadelphia Phillies,3,0,0,0,0,0,0,0,1,0,0.000,0.226
42,2024-05-15,@ Philadelphia Phillies,5,1,1,0,0,1,0,0,1,0,0.200,0.225
43,2024-05-16,@ Philadelphia Phillies,4,1,2,1,1,0,0,1,1,0,0.250,0.226
44,2024-05-17,@ Miami Marlins,4,1,0,0,0,0,0,0,1,0,0.250,0.226
45,2024-05-18,@ Miami Marlins,6,2,0,0,0,0,0,0,1,0,0.333,0.230
46,2024-05-19,@ Miami Marlins,5,1,0,0,0,1,0,0,1,0,0.200,0.229
47,2024-05-20,@ Cleveland Guardians,4,2,0,0,0,0,0,0,1,0,0.500,0.235
48,2024-05-21,@ Cleveland Guardians,4,1,0,0,0,1,0,1,0,0,0.250,0.235
49,2024-05-22,@ Cleveland Guardians,4,1,1,1,1,0,0,1,2,0,0.250,0.236
50,2024-05-24,vs San Francisco Giants,5,2,1,2,1,0,0,0,1,0,0.400,0.240
51,2024-05-25,vs San Francisco Giants,5,0,0,0,0,0,0,0,1,0,0.000,0.234
52,2024-05-26,vs San Francisco Giants,3,0,0,0,0,0,0,1,1,0,0.000,0.230
